date,CTL,T,CSCO,FCX,XL,IVZ,AMT,WHR,IR,WFT,YUM,CVS,GD,TYC,EL,MUR,CTAS,CBSA,SNV,CAM,DLTR,CAH,DTE,SSP,PSA,EXC,TKR,CMA,ORCL,MS,RSG,ACAS,AGN,MMM,ETFC,CAR,MDR,NOV,PCH,BAX,JCI,SWK,DVN,TMO,PEP,LNC,EMR,MLM,CCI,NU,Market,,,,,,
200212,-4.8575,-4.8772,-12.1984,8.2581,-6.6352,-13.5209,-9.2545,-2.9007,-6.7965,-1.0164,1.2965,-7.1057,-2.5537,-3.7042,-2.4927,-0.0467,-9.3521,-13.1702,-6.157,-2.8092,-16.2862,-3.778,5.8313,-2.939,5.3038,5.1405,-3.7783,-7.6273,-11.1111,-11.7595,-2.4186,7.3735,-1.9901,-5.0443,-14.4366,-16.6932,32.7273,0.4138,-11.3915,-10.6533,-2.8471,-3.7841,0.3494,2.7055,-0.2589,-10.1309,-2.4928,-2.7284,-5.303,5.5672,-5.3313,,,,,,
200301,3.2335,-8.8528,2.0611,11.8594,-2.835,-8.3333,43.9093,-0.4787,-8.8249,-6.9371,-4.294,-9.181001,-16.2908,-6.2646,14.2803,-1.5169,-9.7268,-5.5379,-0.3608,-2.7098,-10.6186,-1.4529,-9.6552,6.5367,-4.2092,-3.4868,-9.3717,-6.3367,11.3889,-4.484,-2.3832,7.6424,5.2933,1.0138,-7.4074,5.7252,-7.7626,-6.456,-14.2797,0.6429,0.7484,-23.0191,-1.3072,-9.6919,-4.1213,3.1824,-7.708899,-4.7619,5.3333,-5.4054,-2.3392,,,,,,
200302,-9.660399,-14.8936,4.5625,-9.3234,-5.4889,-18.961,-7.6772,-4.5603,0.9170001,7.7503,2.7179,10.0796,-10.4022,-7.5578,-7.0269,2.4408,-18.063,-3.476,-0.4139,7.2829,-5.9697,-1.783,-1.145,-2.1103,6.6236,-2.5918,-6.6436,1.1852,-0.5819,-2.7705,-6.8848,6.2823,5.9667,1.1883,-6.6667,11.1011,6.4356,10.1322,1.5633,0.7452,-3.479,-3.0428,6.4018,-3.137,-5.336,-12.155,1.1347,-5.0342,-1.7722,-1.4808,-1.539,,,,,,
200303,0.9307,-3.5577,-7.1531,0.1763,0.4511,-2.3504,17.6972,-0.4669,-2.18,-5.6693,2.184,-4.2169,-7.070499,-13.0237,8.2353,2.6493,-1.9958,-1.9081,-6.2078,-4.7885,-3.632,-0.5149,-5.4899,-5.4432,-6.8182,2.5636,-2.5577,-6.3446,-9.2893,4.0706,4.0378,-6.5992,6.2461,3.717,0.2381,3.1682,-32.5581,-0.4889,-5.8624,-34.3431,-6.6188,-6.0635,0.1452,2.8409,4.7756,-1.1648,-3.6541,0.1088,41.7526,-0.5714,1.0325,,,,,,
200304,6.7029,18.1082,15.5624,2.0528,16.2758,24.0886,20.2899,9.0965,14.2265,6.5131,1.5208,1.7505,13.2922,21.3064,7.0487,-5.7052,8.9666,18.9589,8.8317,-3.3327,27.8392,-2.9665,4.3208,4.6343,6.1056,5.2172,13.3163,14.8627,9.5032,17.2881,8.1653,7.8571,2.9908,-3.0685,30.6413,12.4409,12.069,-6.2528,22.7483,23.3906,13.5284,0.1667,-1.9079,0.3867,8.2,15.3393,11.7971,7.0989,15.8182,7.1839,8.2762,,,,,,
200305,14.3294,8.9897,9.4,26.8053,5.7716,11.4311,34.9398,7.0107,-0.2496,12.7268,13.1984,7.8067,7.6527,13.4615,2.5231,19.1837,3.2636,5.1359,17.206,14.0618,13.9937,4.3958,7.4653,11.3186,6.283,8.8989,-6.7232,6.3434,9.5118,2.2346,11.4166,13.5762,2.7758,0.8648,39.0909,17.6471,86.7692,15.8647,4.9057,10.1739,1.2281,17.4157,10.0529,16.1255,2.1257,8.886101,3.93,16.3003,30.7692,9.2326,6.3471,,,,,,
200306,3.668,0.3535,2.3157,11.6173,-4.1011,12.9241,-1.2277,11.9508,8.0365,-7.6075,5.7225,7.3946,8.500401,7.3023,0.6302,6.3916,-4.295,-4.2716,-5.0613,-7.712,9.551701,11.4712,-9.6354,0.7381,0.439,4.3805,6.8987,1.5777,-7.686399,-6.5574,-5.1861,-6.3411,6.92,1.9847,11.1111,9.0476,4.2834,-9.5395,3.5384,2.6046,3.2553,-1.2875,2.6923,-0.3791,1.0407,2.3851,-2.2945,-1.7539,-6.7227,3.5891,1.6336,,,,,,
200307,-1.6069,-7.0744,16.081,9.7143,-4.2169,10.1574,2.8249,1.6954,14.6238,-13.4368,1.2517,7.1976,9.8759,-2.0021,11.3331,-6.1217,16.3139,-0.2059,9.4419,-5.1012,15.6122,-14.8523,-7.5828,-6.492301,6.8792,-3.9124,-12.6214,4.2581,-0.1665,11.5088,6.749,12.4301,4.3839,8.698999,7.7647,-2.0196,-6.635099,-16.3636,3.8835,6.1923,12.8622,2.6449,-11.2921,5.8516,3.5281,5.7395,5.0881,13.9542,27.4131,0.3584,2.3112,,,,,,
200308,1.3707,-3.8527,-1.7958,11.9821,-4.717,5.2013,25.0549,7.9346,10.0848,3.6118,-0.9355,8.7029,8.532901,10.6452,-7.6078,17.3147,-3.1303,3.302,3.9099,1.5687,6.7792,3.9817,-2.2403,4.5564,1.9061,3.3583,10,1.7739,7.0058,2.8457,1.7355,-11.7668,-1.1556,2.0899,0.7642,0.1671,-14.3824,6.413,10.8037,1.7747,2.4739,7.7656,9.2464,2.427,-3.321,-5.1419,4.567,0.2872,8.5859,3.6905,2.4966,,,,,,
200309,-2.3446,-0.935,2.3511,10.3333,2.8647,-5.2993,-10.8084,-2.6013,-10.2151,0.5322,-0.1012,-4.7239,-9.348499,-0.6681,-1.1308,1.7668,-7.2896,-14.6477,2.8834,-4.8394,-14.4569,2.6172,7.1469,-1.7208,7.563,7.8098,-8.7425,-4.5399,-12.3149,3.4228,-7.798501,2.9412,-0.9187,-3.0392,0.325,3.9488,12.8459,-7.3544,0.7799,3.4164,-4.0808,-2.4777,-6.7826,-4.7828,3.2555,-0.1129,-5.5775,-4.656,-12.4651,3.7637,-0.9112,,,,,,
200310,5.4883,9.4944,6.8402,17.3414,-10.2531,3.6866,14.2857,3.9841,13.024,-8.0201,15.26,13.4498,7.6352,2.2026,9.6481,0.3915,15.6985,3.75,10.4442,-7.3361,14.1282,1.627,-0.0271,9.177401,1.9628,-0.0787,10.105,10.4721,6.4,9.1954,2.6943,8.568,-3.9502,14.1885,11.2311,9.3098,29.5972,5.1268,5.1817,-8.5341,13.6681,12.9404,0.6433,1.2903,4.3421,13.8072,7.7873,12.4005,34.5377,5.1339,6.0319,,,,,,
